Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,68nF,
J1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,dcdc,
J2,PinHeader_1x06_P2.54mm_Horizontal,1,free,
J4,PinHeader_1x04_P2.54mm_Horizontal,1,I2C/Uart,
Q1,SOT-23,1,SI2305,
R1,0805,1,30k,
"R10, R11",0805,2,?k,
R12,0805,1,99k,
"R13, R3, R4",0805,3,1k,
R2,0805,1,70k,
"R5, R8",0805,2,3k,
"R6, R7",0805,2,97k,
R9,0805,1,10k,
SW1,3way dial switch,1,3x button,
U1,display 128x160 +touch +sd,1,spi tft with touch (+ sd card),
U3,20A80V dcdc,1,20A 80V dcdc,
U4,Wemos S2 Mini,1,Wemos S2 Mini,
