Designator,Mid X,Mid Y,Rotation,Layer
C1,170.4125,-113.03,0.0,top
J1,107.03,-88.9,0.0,top
J2,144.78,-106.68,180.0,top
J4,156.21,-105.664,270.0,top
Q1,154.0025,-94.3,180.0,top
R1,149.86,-94.885,270.0,top
R10,165.6025,-110.49,0.0,top
R11,165.6025,-113.03,180.0,top
R12,146.32,-90.17,0.0,top
R13,151.4,-90.17,180.0,top
R2,155.21,-97.79,180.0,top
R3,110.744,-94.996,180.0,top
R4,114.3,-97.52,90.0,top
R5,113.3,-101.092,180.0,top
R6,110.744,-98.171,180.0,top
R7,172.99,-87.63,0.0,top
R8,173.355,-90.805,90.0,top
R9,155.845,-101.6,0.0,top
SW1,128.778,-113.03,180.0,top
U1,144.145,-99.314,180.0,top
U3,125.68,-82.486,0.0,top
U4,142.137,-92.611,0.0,top
